name,x,y
000078@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,7195,4131
000081@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,5337,1621
000085@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,6252,278
000087@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,4051,5747
000088@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,4301,6193
000089@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,6100,2055
000090@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,708,7084
000091@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3540,3104
000094@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3350,3441
000095@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,5620,567
000096@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,1618,6441
000097@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3460,5763
000099@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,1963,3369
000100@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,2145,5954
000101@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,2307,3503
000102@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,6795,6109
000103@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,4851,5361
000104@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,4653,3819
000105@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,5555,1272
000106@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,724,325
000108@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,4179,4844
000109@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,281,3428
000110@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3154,5171
000111@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3412,6810
000112@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3902,3172
000113@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3695,7107
000114@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,2059,2971
000115@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3807,1669
000116@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,4366,2554
000117@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,1515,4038
000118@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,524,3796
000119@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,2516,233
000122@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3902,5917
000123@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,276,4456
000124@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,253,5520
000125@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,5122,6604
000127@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,5375,5444
000128@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,4042,4486
000129@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,1305,6831
000131@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3672,4591
000132@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3081,2876
000133@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3151,7181
000134@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,5840,2046
000135@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,5690,5400
000136@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,5002,1796
000137@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,2175,1792
000138@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,701,7358
000141@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,4275,1578
000142@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,2225,6717
000143@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3113,2356
000144@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,2468,6384
000145@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3875,6501
000147@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,4806,7307
000148@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,1666,1915
000149@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,2633,2012
000150@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,2474,3276
000151@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3582,1037
000152@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3840,4028
000153@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,4574,524
000154@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,923,5168
000155@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3297,3871
000157@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,5066,5305
000158@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,4777,2818
000159@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3718,2955
000160@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,5885,6321
000161@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,2060,629
000162@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,4312,841
000163@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3816,3756
000164@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,2755,3265
000165@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,5535,7063
000166@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3857,6744
000168@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,2795,4778
000169@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,955,339
000170@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,515,5751
000171@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,2096,3574
000174@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,437,2752
000175@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3675,3563
000176@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,5113,6200
000177@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,3586,769
000178@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,5448,2447
000179@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,6641,6597
000180@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,4823,3150
000181@Particles/Micrographs/14sep05c_c_00003gr_00015sq_00011hl_00002es_particles_shiny.mrcs,5162,1500
